FishID,cohort,pattern
MLL-2O7R-0905,905,17
MLL-2O7V-0905,905,28
MLL-2O7Y-0905,905,1
MLL-2O8G-0905,905,25
MLL-2O8O-0905,905,7
MLL-2O8P-0905,905,18
MLL-2O8R-0905,905,19
MLL-2O8Y-0905,905,5
MLL-2P5B-0905,905,28
MLL-2P5G-0905,905,20
MLL-2P5O-0905,905,17
MLL-2P5P-0905,905,5
MLL-2P5Y-0905,905,20
MLL-2P6K-0905,905,99
MLL-2P6O-0905,905,22
MLL-2P6P-0905,905,1
MLL-2P6R-0905,905,5
MLL-2P6Y-0905,905,1
MLL-2P7K-0905,905,23
MLL-2P7O-0905,905,13
MLL-2P7P-0905,905,17
MLL-2P7R-0905,905,23
MLL-2P8G-0905,905,21
MLL-2P8O-0905,905,99
MLL-2P8P-0905,905,7
MLL-2P8R-0905,905,25
MLL-2P8Y-0905,905,13
MLL-2R5B-0905,905,21
MLL-2R5G-0905,905,99
MLL-2R5P8P-0905,905,99
MLL-2R5V-0905,905,17
MLL-2R5Y-0905,905,1
MLL-2R6G8O-0905,905,14
MLL-2R6R-0905,905,18
MLL-2R6V-0905,905,26
MLL-2R7P-0905,905,27
MLL-2R7R-0905,905,12
MLL-2R8O-0905,905,7
MLL-2R8P-0905,905,8
MLL-2R8Y-0905,905,11
MLL-2V5G-0905,905,14
MLL-2V5O-0905,905,1
MLL-2V5Y-0905,905,99
MLL-2V6B-0905,905,17
MLL-2V6G-0905,905,15
MLL-2V6Y-0905,905,23
MLL-2V7B-0905,905,99
MLL-2V7P-0905,905,14
MLL-2V7V-0905,905,27
MLL-2V8G-0905,905,1
MLL-2V8O-0905,905,23
MLL-2V8P-0905,905,28
MLL-2Y5P-0905,905,99
MLL-2Y6B-0905,905,14
MLL-2Y6P-0905,905,99
MLL-2Y7P-0905,905,1
MLL-3B5K-0905,905,5
MLL-3B6B-0905,905,2
MLL-3B6V-0905,905,26
MLL-3B8V-0905,905,21
MLL-3G6P-0905,905,99
MLL-3G7O-0905,905,23
MLL-3G8G-0905,905,99
MLL-3K5G-0905,905,17
MLL-3K5O-0905,905,17
MLL-3K6B-0905,905,3
MLL-1Y3G5P-0906,906,18
MLL-2K5B7V-0906,906,26
MLL-2R5P-0906,906,15
MLL-3K4V5O-0906,906,17
MLL-3P5P-0906,906,27
MLL-3V6P-0906,906,17
MLL-3V6V-0906,906,99
MLL-3V6Y-0906,906,99
MLL-3V7B-0906,906,27
MLL-3V7G-0906,906,99
MLL-3V7K-0906,906,9
MLL-3V7O-0906,906,99
MLL-3V7P-0906,906,24
MLL-3V7R-0906,906,23
MLL-3V7V-0906,906,3
MLL-3V7Y-0906,906,12
MLL-3V8B-0906,906,11
MLL-3V8G-0906,906,25
MLL-3V8P-0906,906,1
MLL-3V8R-0906,906,20
MLL-3V8V-0906,906,99
MLL-3Y5O-0906,906,15
MLL-3Y5R-0906,906,6
MLL-3Y6K-0906,906,7
MLL-3Y7G-0906,906,14
MLL-3Y7K-0906,906,99
MLL-3Y7O-0906,906,12
MLL-3Y8B-0906,906,4
MLL-3Y8G-0906,906,99
MLL-3Y8Y-0906,906,7
MLL-4B5B-0906,906,11
MLL-4B5P-0906,906,7
MLL-4B5V-0906,906,19
MLL-4B5Y-0906,906,3
MLL-4B6B-0906,906,15
MLL-4B6R-0906,906,14
MLL-4B6V-0906,906,19
MLL-4B7P-0906,906,20
MLL-4B7R-0906,906,14
